,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
457,363.300077,27679,50023,w,0,49485,50509.
458,363.300269,5003,9107,w,0,8560,9584.
459,363.300461,21610,39394,w,0,38932,39956.
460,363.300641,8809,16105,w,0,15592,16616.
461,363.300824,11999,22031,w,0,21561,22585.
462,363.301016,42874,14474,w,0,-1,-1
463,363.301065,36273,65457,w,0,64904,-1.
464,363.301251,439,895,w,0,352,1376.
465,363.301435,39840,7464,w,0,-1,-1
466,363.301489,19411,35371,w,0,34895,35919.
467,363.301672,65224,64656,w,0,-1,-1
468,363.301718,50323,31011,w,0,-1,-1
469,363.301769,21421,38749,w,0,38213,39237.
470,363.301953,56999,46207,w,0,-1,-1
471,363.302005,23606,42758,w,0,42239,43263.
472,363.302247,23088,41784,w,0,41255,42279.
473,363.302441,18999,34503,w,0,33996,35020.
474,363.302627,29384,53096,w,0,52557,53581.
475,363.302819,7730,14114,w,0,13589,14613.
476,363.303002,20283,36699,w,0,36163,37187.
477,363.303187,5094,9198,w,0,8633,9657.
478,363.303369,27114,49002,w,0,48463,49487.
479,363.303553,33006,59910,w,0,59441,60465.
480,363.303744,51145,32969,w,0,-1,-1
481,363.303789,42014,12478,w,0,-1,-1
482,363.303835,49128,28680,w,0,-1,-1
483,363.303879,57536,47312,w,0,-1,-1
484,363.303923,29759,53927,w,0,53427,54451.
485,363.304110,43466,15634,w,0,-1,-1
486,363.304142,47578,24858,w,0,-1,-1
487,363.304198,57707,47483,w,0,-1,-1
488,363.304242,56013,44085,w,0,-1,-1
489,363.304274,45551,20559,w,0,-1,-1
490,363.304326,34199,62015,w,0,61535,62559.
491,363.304511,54525,40325,w,0,-1,-1
492,363.304543,32883,59331,w,0,58775,59799.
493,363.304734,52199,35159,w,0,-1,-1
494,363.304781,19889,36305,w,0,35847,36871.
495,363.304967,33105,60009,w,0,59521,60545.
496,363.305200,43225,15393,w,0,-1,-1
497,363.305232,32358,58350,w,0,57785,58809.
498,363.305417,27390,49734,w,0,49253,50277.
499,363.305609,43199,15367,w,0,-1,-1
500,363.305650,23736,42888,w,0,42343,43367.
501,363.305842,8322,15162,w,0,14633,15657.
502,363.306026,9568,17320,w,0,16769,17793.
503,363.306245,21415,38743,w,0,38208,39232.
504,363.306433,60198,53382,w,0,-1,-1
505,363.306486,33163,60067,w,0,59567,60591.
506,363.306678,7110,13038,w,0,12524,13548.
507,363.306863,53920,39152,w,0,-1,-1
508,363.306916,61753,56641,w,0,-1,-1
509,363.306960,54143,39943,w,0,-1,-1
510,363.307008,40426,8618,w,0,-1,-1
511,363.307055,44904,18776,w,0,-1,-1
512,363.307136,59389,51437,w,0,-1,-1
513,363.307197,31490,57026,w,0,56520,57544.
514,363.307383,30424,55048,w,0,54528,55552.
515,363.307570,53355,38019,w,0,-1,-1
516,363.307606,55514,43018,w,0,-1,-1
517,363.307654,63293,60453,w,0,-1,-1
518,363.307699,13061,23549,w,0,22981,24005.
519,363.307891,60469,53653,w,0,-1,-1
520,363.307932,2825,5105,w,0,4539,5563.
521,363.308120,7712,14096,w,0,13575,14599.
522,363.308308,29741,53909,w,0,53412,54436.
523,363.308493,6444,11916,w,0,11421,12445.
524,363.308678,42075,12539,w,0,-1,-1
525,363.308730,59636,52252,w,0,-1,-1
526,363.308774,5166,9726,w,0,9259,10283.
527,363.308959,59631,52247,w,0,-1,-1
528,363.309011,55788,43292,w,0,-1,-1
529,363.309059,45872,20880,w,0,-1,-1
530,363.309103,34221,62037,w,0,61553,62577.
531,363.309295,5932,10948,w,0,10442,11466.
532,363.309480,8209,15049,w,0,14542,15566.
533,363.309668,56866,45506,w,0,-1,-1
534,363.309716,55606,43110,w,0,-1,-1
535,363.309757,55269,42205,w,0,-1,-1
536,363.309806,12635,23123,w,0,22639,23663.
537,363.309992,61652,56540,w,0,-1,-1
538,363.310043,29730,53898,w,0,53403,54427.
539,363.310265,26477,47909,w,0,47384,48408.
540,363.310444,24405,44013,w,0,43448,44472.
541,363.310626,63994,61722,w,0,-1,-1
542,363.310659,29595,53763,w,0,53295,54319.
543,363.310840,17166,31302,w,0,30821,31845.
544,363.311023,47143,23855,w,0,-1,-1
545,363.311056,41956,12420,w,0,-1,-1
546,363.311095,29039,52751,w,0,52281,53305.
547,363.311277,23847,42999,w,0,42432,43456.
548,363.311459,61168,55488,w,0,-1,-1
549,363.311492,42701,13733,w,0,-1,-1
550,363.311528,60551,54303,w,0,-1,-1
551,363.311561,26189,47621,w,0,47152,48176.
552,363.311743,51069,32893,w,0,-1,-1
553,363.311776,33663,61023,w,0,60537,61561.
554,363.311957,36182,65366,w,0,64831,-1.
555,363.312071,40505,9265,w,0,-1,-1
556,363.313390,24279,43887,w,0,43347,44371.
557,363.313574,35541,64269,w,0,63748,64772.
558,363.313756,16545,30225,w,0,29754,30778.
559,363.313938,15907,29131,w,0,28674,29698.
560,363.314170,58166,48510,w,0,-1,-1
561,363.314232,9229,16981,w,0,16497,17521.
562,363.314483,55194,42130,w,0,-1,-1
563,363.314516,25756,46732,w,0,46237,47261.
564,363.314700,35472,64200,w,0,63693,64717.
565,363.314890,9446,17198,w,0,16671,17695.
566,363.315074,61233,55553,w,0,-1,-1
567,363.315113,47914,25762,w,0,-1,-1
568,363.315161,46855,23567,w,0,-1,-1
569,363.315208,62288,57744,w,0,-1,-1
570,363.315251,6219,11235,w,0,10672,11696.
571,363.315435,40753,9513,w,0,-1,-1
572,363.315487,45564,20572,w,0,-1,-1
573,363.315531,53708,38940,w,0,-1,-1
574,363.315574,1231,2599,w,0,2124,3148.
575,363.315768,52812,36908,w,0,-1,-1
576,363.315812,41840,12304,w,0,-1,-1
577,363.315860,41529,11425,w,0,-1,-1
578,363.315907,25317,45837,w,0,45316,46340.
579,363.316232,816,1728,w,0,1223,2247.
580,363.316421,56183,44255,w,0,-1,-1
581,363.316465,27883,50683,w,0,50216,51240.
582,363.316650,48207,26055,w,0,-1,-1
583,363.316703,25584,46560,w,0,46099,47123.
584,363.316888,60812,54564,w,0,-1,-1
585,363.316932,49217,28769,w,0,-1,-1
